"Summary","Issue Type","Priority","Labels","Description"
"Hibernate DDL-Auto Update Enabled in Production with Inactive Flyway Migrations","Improvement","Low","backend infrastructure","[SEVERITY & IMPACT]
P3 - Architecture / Technical Debt. Risk of schema corruption and production drift.
spring.jpa.hibernate.ddl-auto: update dynamically alters production database schemas without audit, validation, or rollback capability, while Flyway versioned migrations (flyway.enabled: false) are disabled.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 24, 54-55)

[TECHNICAL ROOT CAUSE]
Hibernate automatic update schema modifications can unexpectedly alter column types or lock tables during concurrent application restarts in clustered production deployments. Best practice demands disabling ddl-auto (or setting to validate) and delegating all DDL to version-controlled Flyway scripts.

[STEPS TO REPRODUCE]
1. Open fitempire-backend/src/main/resources/application.yml.
2. Inspect line 24: ddl-auto: ${SPRING_JPA_HIBERNATE_DDL_AUTO:update}.
3. Inspect line 55: flyway.enabled: false.

[EXPECTED BEHAVIOR]
Production database schema changes must be driven exclusively by versioned Flyway migrations with ddl-auto set to validate or none.

[ACTUAL BEHAVIOR]
Hibernate runs unrestricted schema updates on production startup with Flyway disabled.

[PROPOSED RESOLUTION]
1. Set spring.jpa.hibernate.ddl-auto to validate in production profiles.
2. Set spring.flyway.enabled to true and manage table alterations via src/main/resources/db/migration scripts."
"Synchronous Database Query in JwtAuthenticationFilter on Every HTTP Request","Improvement","Low","backend security","[SEVERITY & IMPACT]
P3 - Performance Degradation & DB Load.
Defeats the core advantage of stateless JWT tokens. Every inbound API request triggers a blocking synchronous database query against the users table.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/security/jwt/JwtAuthenticationFilter.java (Line 63)

[TECHNICAL ROOT CAUSE]
JwtAuthenticationFilter.doFilterInternal executes userDetailsService.loadUserByUsername(userEmail) on every request instead of extracting user roles and permissions directly from signed JWT claims or caching UserDetails in Redis.

[STEPS TO REPRODUCE]
1. Authenticate as a user and obtain a JWT bearer token.
2. Send 100 concurrent requests to /api/v1/gyms.
3. Monitor database query logs in Neon PostgreSQL.
4. Observe 100 identical SELECT * FROM users WHERE email = ? queries executing concurrently.

[EXPECTED BEHAVIOR]
Cryptographically signed JWT tokens should be validated statelessly without database roundtrips for routine authenticated requests.

[ACTUAL BEHAVIOR]
Every single HTTP request performs a synchronous SQL query against the database.

[PROPOSED RESOLUTION]
Encode user authorities and userId into JWT claims during login, or cache UserDetails objects in Redis with a 15-minute TTL."
"Missing Razorpay Webhook Controller Endpoint Causes Lost Payment Confirmations","Bug","High","backend payments","[SEVERITY & IMPACT]
P1 - Financial & Fulfillment Failure.
Customers get debited by their bank or UPI app, but if their mobile browser closes or cellular connection drops before client-side /verify callback finishes, FitEmpire never captures the payment or activates the pass.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/payments/controller/PaymentController.java

[TECHNICAL ROOT CAUSE]
PaymentController only implements /create-order and /verify. There is no /v1/payments/webhook endpoint with Razorpay webhook secret signature validation (X-Razorpay-Signature) to receive server-to-server payment notifications.

[STEPS TO REPRODUCE]
1. User initiates a pass purchase in the mobile app.
2. User approves the payment in Google Pay / PhonePe.
3. User immediately closes the app or encounters a network timeout before /v1/payments/verify executes.
4. Razorpay successfully captures the funds, but FitEmpire backend never receives notice.
5. Membership stays inactive while user money is deducted.

[EXPECTED BEHAVIOR]
Razorpay server sends order.paid and payment.captured webhook events to /v1/payments/webhook to guarantee payment fulfillment regardless of client connection status.

[ACTUAL BEHAVIOR]
FitEmpire lacks a webhook controller endpoint, causing orphaned charges and broken member fulfillments.

[PROPOSED RESOLUTION]
Implement an idempotent @PostMapping(""/webhook"") endpoint in PaymentController validating the X-Razorpay-Signature HMAC-SHA256 header and updating payment and membership status."
"Geolocation Haversine Query Risks Arithmetic ACOS Crash and Sorts by Rating","Bug","Medium","backend search","[SEVERITY & IMPACT]
P2 - Service Crash & Suboptimal Search UX in Nearby Gyms.
When a user searches from coordinates nearly identical to a gym branch, IEEE-754 floating-point errors evaluate the inner trigonometric formula to 1.0000000000000002. In PostgreSQL, ACOS(> 1.0) throws an input is out of range error. Furthermore, results are sorted by rating rather than closest distance.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/repository/GymRepository.java (Lines 81-87)

[TECHNICAL ROOT CAUSE]
The ACOS calculation in findNearby lacks clamping (LEAST(1.0, GREATEST(-1.0, ...))). Additionally, the query clause specifies ORDER BY g.avgRating DESC instead of ordering by distance ascending.

[STEPS TO REPRODUCE]
1. Query /v1/gyms/nearby with user lat/lng matching a gym branch coordinate.
2. Postgres throws org.postgresql.util.PSQLException: ERROR: input is out of range for acos().
3. In normal queries, gyms 4.5 km away appear before gyms 100 meters away if their rating is slightly higher.

[EXPECTED BEHAVIOR]
Trigonometric calculation must be safe from precision overflow, and nearby gyms should be ordered by distance ascending.

[ACTUAL BEHAVIOR]
Occasional 500 crashes and incorrect sorting by rating instead of physical proximity.

[PROPOSED RESOLUTION]
Clamp the argument to ACOS between -1.0 and 1.0 in JPQL/native SQL, and sort by calculated distance ASC."
"DatabaseSeeder Overwrites Production Admin and Partner Passwords on Every Container Boot","Bug","High","backend security","[SEVERITY & IMPACT]
P1 - Critical Security Defect.
Whenever the backend server restarts or auto-scales, custom passwords set by administrators or partners in production are forcibly overwritten and reset to default hardcoded credentials.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/config/DatabaseSeeder.java (Lines 112-113, 141-142)

[TECHNICAL ROOT CAUSE]
admin.setPasswordHash(passwordEncoder.encode(""AdminPassword@123"")) and partner.setPasswordHash(...) are positioned outside the if (admin == null) conditional blocks, executing unconditionally on existing database records on every boot.

[STEPS TO REPRODUCE]
1. Admin logs into the system and changes their password to a secure custom password.
2. Backend container restarts (e.g. CI/CD deployment or auto-scaling event).
3. DatabaseSeeder executes during application startup.
4. Admin attempts to log in with new password -> fails with 401 Unauthorized.
5. Admin logs in with AdminPassword@123 -> succeeds.

[EXPECTED BEHAVIOR]
Existing admin and partner credentials must remain intact across application restarts.

[ACTUAL BEHAVIOR]
Passwords reset to hardcoded defaults unconditionally on every container boot.

[PROPOSED RESOLUTION]
Move password encoding and user saving strictly inside the if (admin == null) block, and disable DatabaseSeeder in production (@Profile(""!prod""))."
"Mobile Pass Freeze Catch Block Swallows Network Failures with Fake Success Confirmation","Bug","High","mobile bookings","[SEVERITY & IMPACT]
P1 - False Positive Confirmation & Financial Dispute.
When freezing or unfreezing a pass fails on the backend, the mobile app catches the error and displays ""Pass Frozen ⏸️ Unused days are safely preserved!"", deceiving the user while their pass continues expiring on the server.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/membership.tsx (Lines 314-317, 338-341)

[TECHNICAL ROOT CAUSE]
In handleToggleFreeze, both the freeze and unfreeze catch (e) blocks mutate local state (setIsFrozen) and trigger success alerts instead of alerting the user that the operation failed.

[STEPS TO REPRODUCE]
1. Turn off internet / enable Airplane mode on mobile phone.
2. Navigate to Membership screen.
3. Tap ""Pause Pass"" -> tap ""Pause Pass"" in confirmation dialog.
4. An alert pops up saying ""Pass Frozen ⏸️ Your pass is paused. Unused days are safely preserved!"".
5. Reconnect to internet and check server database -> pass status is still ACTIVE.

[EXPECTED BEHAVIOR]
If the API call fails, the client must retain the original pass state and display an error alert: ""Unable to pause pass. Please check connection.""

[ACTUAL BEHAVIOR]
App confirms pass freeze to the user even when the backend API request fails.

[PROPOSED RESOLUTION]
Remove state mutation and success alerts from catch blocks. Display an informative error alert: Alert.alert('Error', 'Failed to update membership status. Please try again.')."
"Booking Cancellation Catch Block Suppresses Backend Errors and Falsifies Cancelled State","Bug","Medium","mobile bookings","[SEVERITY & IMPACT]
P2 - State Desynchronization & No-Show Penalties.
When a user attempts to cancel a workout slot past the allowable cancellation cutoff, the server rejects the request with HTTP 400. The app swallows the error, marks the booking as ""Cancelled"" locally, and tells the user it was cancelled, resulting in gym no-show penalties.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/my-bookings.tsx (Lines 169-178)

[TECHNICAL ROOT CAUSE]
handleCancelBooking wraps bookingsApi.cancel in an empty catch (e) {} block and unconditionally executes setBookingsList updating status to Cancelled and alerts ""Your workout slot has been cancelled.""

[STEPS TO REPRODUCE]
1. Attempt to cancel a booking within the non-cancellable cutoff window (e.g. 1 hour before class).
2. Backend returns HTTP 400 ""Cancellation cutoff passed"".
3. Mobile app catch block ignores 400 response, updates local booking card to ""Cancelled"", and shows success dialog.
4. Member stays booked on gym roster and is penalized for non-attendance.

[EXPECTED BEHAVIOR]
UI should display server error message and retain CONFIRMED status if cancellation is rejected.

[ACTUAL BEHAVIOR]
Error is swallowed silently and client presents false cancellation confirmation.

[PROPOSED RESOLUTION]
Move UI state updates and success alert into the try block. In the catch block, parse and display err.response?.data?.message to the user."
"Health Risk Assessment (HRA) Onboarding Discards 4-Step Questionnaire Without Persistence","Bug","Medium","mobile profile","[SEVERITY & IMPACT]
P2 - Data Loss & Broken Personalization.
New users invest several minutes answering questions across 4 onboarding steps (height, weight, age, fitness goals, diet preferences), but all data is discarded on completion. Promised 100 FitPoints are also never credited.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/onboarding-hra.tsx (Lines 64-67)

[TECHNICAL ROOT CAUSE]
handleFinish only executes Alert.alert('Profile Complete 🎉', '+100 FitPoints added to your wallet!...') and router.replace('/(tabs)') without issuing an HTTP POST to persist bio-metrics or credit reward points.

[STEPS TO REPRODUCE]
1. Complete onboarding HRA flow with custom height, weight, goal, and dietary preference.
2. Tap ""Launch FitEmpire Home →"".
3. Inspect user profile and wallet on server or client.
4. User profile attributes remain empty and wallet balance is 0.

[EXPECTED BEHAVIOR]
Bio-metrics must be persisted to /api/v1/users/profile and onboarding welcome bonus credited to wallet.

[ACTUAL BEHAVIOR]
All onboarding survey input is discarded upon completion.

[PROPOSED RESOLUTION]
Call userApi.updateProfile({ age, gender, height, weight, goal, diet }) and trigger wallet reward credit prior to navigating to tabs."
"Hardcoded Referral Code and Non-Functional Clipboard/Share Dialogs in Refer Screen","Bug","Medium","mobile referral","[SEVERITY & IMPACT]
P2 - Broken Referral Program & Viral Growth Loop.
All users in the mobile app share the exact same hardcoded referral code 'EMPIRE-RAHUL500'. Furthermore, tapping Copy does not copy text to OS clipboard, and tapping Share does not invoke native OS sharing.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/refer.tsx (Lines 24-32)

[TECHNICAL ROOT CAUSE]
referralCode is defined as a static constant 'EMPIRE-RAHUL500'. handleCopy and handleShare only display Alert.alert without calling expo-clipboard or React Native Share.share().

[STEPS TO REPRODUCE]
1. Log in as a distinct user (e.g. Priya Patel).
2. Open Refer & Earn screen from Profile.
3. Code displayed is EMPIRE-RAHUL500 instead of user personal code.
4. Tap ""Copy"" -> Alert says copied, but clipboard buffer is unaffected.
5. Tap ""Share on WhatsApp"" -> Alert dialog appears instead of native share sheet.

[EXPECTED BEHAVIOR]
Screen should display user.referralCode, write to OS clipboard via Clipboard.setStringAsync, and trigger native sharing via Share.share.

[ACTUAL BEHAVIOR]
Static hardcoded code and inert alert dialogs.

[PROPOSED RESOLUTION]
Retrieve dynamic referralCode from auth context, integrate expo-clipboard, and invoke Share.share({ message, url })."
"Notification Settings Toggles Are Ephemeral and Missing Push Token Registration","Bug","Medium","mobile settings","[SEVERITY & IMPACT]
P2 - User Preference Loss & Inactive Push Channel.
Toggling notification preferences (push alerts, nutritionist messages, gym visit reminders) has no persistent effect. Settings reset upon leaving the screen, and device push notification tokens are never registered.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/settings-notifications.tsx (Lines 31-39)

[TECHNICAL ROOT CAUSE]
Notification toggles are managed purely in local React useState hooks without synchronization to AsyncStorage or /api/v1/users/notification-preferences.

[STEPS TO REPRODUCE]
1. Open Settings -> Notifications.
2. Toggle off ""Promotions & Offers"" and ""Exercise Reminders"".
3. Navigate back to Profile, then re-open Notifications.
4. All switches revert to their initial default values.

[EXPECTED BEHAVIOR]
Toggles should persist locally and synchronize with user preference records on the backend. Device push tokens should register via expo-notifications.

[ACTUAL BEHAVIOR]
Toggles reset on navigation and push notification tokens are never stored.

[PROPOSED RESOLUTION]
Persist toggle values using AsyncStorage, sync changes to user settings API, and register device Expo push token on toggle enable."
